event_id,employee_id,event_type,event_date,event_value,remarks
410,EMP086,Deployed,03-06-2024,Zephryn Technologies,Initial deployment
411,EMP086,Contract Renewal,30-11-2024,6 months extension,First renewal review
412,EMP087,Bench Start,19-12-2023,5 days,Internal Approvals
413,EMP087,Bench End,24-12-2023,5 days on bench,Deployment commenced
414,EMP087,Deployed,24-12-2023,Brackenfield Bank,Initial deployment
415,EMP087,Contract Closure,21-06-2024,Project ended,Budget Cut
416,EMP087,Released,31-12-2024,Released,Client absorption
417,EMP088,Bench Start,17-08-2023,8 days,Client BGV Delay
418,EMP088,Bench End,25-08-2023,8 days on bench,Deployment commenced
419,EMP088,Deployed,25-08-2023,Veluxtra Infotech,Initial deployment
420,EMP088,Contract Renewal,21-02-2024,6 months extension,First renewal review
421,EMP088,Resigned,28-08-2024,Resigned,Performance issue
422,EMP089,Bench Start,16-02-2024,5 days,Documentation Pending
423,EMP089,Bench End,21-02-2024,5 days on bench,Deployment commenced
424,EMP089,Deployed,21-02-2024,Orenvast Bank,Initial deployment
425,EMP089,Contract Renewal,19-08-2024,6 months extension,First renewal review
426,EMP090,Bench Start,29-06-2023,6 days,Visa Processing
427,EMP090,Bench End,05-07-2023,6 days on bench,Deployment commenced
428,EMP090,Deployed,05-07-2023,Zephryn Technologies,Initial deployment
429,EMP090,Contract Renewal,01-01-2024,6 months extension,First renewal review
430,EMP090,Contract Renewal,29-06-2024,6 months extension,Second renewal review
431,EMP090,Converted to FTE,08-02-2024,Converted to FTE,Performance issue
432,EMP091,Bench Start,26-06-2024,2 days,Documentation Pending
433,EMP091,Bench End,28-06-2024,2 days on bench,Deployment commenced
434,EMP091,Deployed,28-06-2024,Luminae Financial,Initial deployment
435,EMP091,Contract Renewal,25-12-2024,6 months extension,First renewal review
436,EMP092,Bench Start,16-01-2023,9 days,Role Redefinition
437,EMP092,Bench End,25-01-2023,9 days on bench,Deployment commenced
438,EMP092,Deployed,25-01-2023,Luminae Financial,Initial deployment
439,EMP092,Contract Closure,24-07-2023,Project ended,Budget Cut
440,EMP092,Appraisal,16-01-2024,6.1%,Annual appraisal cycle
441,EMP092,Contract Closure,20-01-2024,Project ended,Client Decision
442,EMP092,Converted to FTE,15-05-2024,Converted to FTE,Performance issue
443,EMP093,Bench Start,28-07-2023,10 days,Internal Approvals
444,EMP093,Bench End,07-08-2023,10 days on bench,Deployment commenced
445,EMP093,Deployed,07-08-2023,Luminae Financial,Initial deployment
446,EMP093,Contract Renewal,03-02-2024,6 months extension,First renewal review
447,EMP093,Appraisal,27-07-2024,10.0%,Annual appraisal cycle
448,EMP093,Contract Closure,01-08-2024,Project ended,Budget Cut
449,EMP094,Bench Start,17-05-2024,4 days,Internal Approvals
450,EMP094,Bench End,21-05-2024,4 days on bench,Deployment commenced
451,EMP094,Deployed,21-05-2024,Zephryn Technologies,Initial deployment
452,EMP094,Contract Closure,17-11-2024,Project ended,Client Decision
453,EMP095,Deployed,18-01-2024,Veluxtra Infotech,Deployed on joining date
454,EMP095,Contract Renewal,16-07-2024,6 months extension,First renewal review
455,EMP096,Deployed,03-07-2023,Veluxtra Infotech,Deployed on joining date
456,EMP096,Contract Renewal,30-12-2023,6 months extension,First renewal review
457,EMP096,Contract Renewal,27-06-2024,6 months extension,Second renewal review
458,EMP097,Bench Start,02-02-2023,11 days,Documentation Pending
459,EMP097,Bench End,13-02-2023,11 days on bench,Deployment commenced
460,EMP097,Deployed,13-02-2023,Luminae Financial,Initial deployment
461,EMP097,Contract Renewal,12-08-2023,6 months extension,First renewal review
462,EMP097,Bill Rate Revision,13-02-2024,INR 5242.02,Annual rate revision
463,EMP097,Appraisal,02-02-2024,9.5%,Annual appraisal cycle
464,EMP097,Contract Renewal,08-02-2024,6 months extension,Second renewal review
465,EMP098,Bench Start,28-05-2023,20 days,Visa Processing
466,EMP098,Bench End,17-06-2023,20 days on bench,Deployment commenced
467,EMP098,Deployed,17-06-2023,Altovex Systems,Initial deployment
468,EMP098,Contract Renewal,14-12-2023,6 months extension,First renewal review
469,EMP098,Appraisal,27-05-2024,8.3%,Annual appraisal cycle
470,EMP098,Released,17-10-2024,Released,Contract ended
471,EMP099,Bench Start,07-10-2023,7 days,Internal Approvals
472,EMP099,Bench End,14-10-2023,7 days on bench,Deployment commenced
473,EMP099,Deployed,14-10-2023,Orenvast Bank,Initial deployment
474,EMP099,Contract Renewal,11-04-2024,6 months extension,First renewal review
475,EMP099,Contract Closure,08-10-2024,Project ended,Budget Cut
476,EMP100,Bench Start,04-01-2024,1 days,Visa Processing
477,EMP100,Bench End,05-01-2024,1 days on bench,Deployment commenced
478,EMP100,Deployed,05-01-2024,Zephryn Technologies,Initial deployment
479,EMP100,Contract Closure,03-07-2024,Project ended,Budget Cut
480,EMP100,Resigned,31-12-2024,Resigned,Contract ended
481,EMP101,Bench Start,21-06-2023,4 days,Internal Approvals
482,EMP101,Bench End,25-06-2023,4 days on bench,Deployment commenced
483,EMP101,Deployed,25-06-2023,Brackenfield Bank,Initial deployment
484,EMP101,Contract Renewal,22-12-2023,6 months extension,First renewal review
485,EMP101,Appraisal,20-06-2024,10.9%,Annual appraisal cycle
486,EMP101,Released,25-05-2024,Released,Personal reasons
487,EMP102,Deployed,16-03-2024,Luminae Financial,Deployed on joining date
488,EMP102,Contract Closure,12-09-2024,Project ended,Project Completion
489,EMP103,Bench Start,24-07-2023,5 days,Role Redefinition
490,EMP103,Bench End,29-07-2023,5 days on bench,Deployment commenced
491,EMP103,Deployed,29-07-2023,Zephryn Technologies,Initial deployment
492,EMP103,Contract Renewal,25-01-2024,6 months extension,First renewal review
493,EMP103,Bill Rate Revision,28-07-2024,INR 3810.22,Annual rate revision
494,EMP103,Appraisal,23-07-2024,11.9%,Annual appraisal cycle
495,EMP103,Contract Renewal,23-07-2024,6 months extension,Second renewal review
496,EMP103,Converted to FTE,06-11-2024,Converted to FTE,Contract ended
497,EMP104,Bench Start,04-03-2024,10 days,Internal Approvals
498,EMP104,Bench End,14-03-2024,10 days on bench,Deployment commenced
499,EMP104,Deployed,14-03-2024,Zephryn Technologies,Initial deployment
500,EMP104,Contract Renewal,10-09-2024,6 months extension,First renewal review
501,EMP105,Bench Start,19-04-2024,5 days,Visa Processing
502,EMP105,Bench End,24-04-2024,5 days on bench,Deployment commenced
503,EMP105,Deployed,24-04-2024,Altovex Systems,Initial deployment
504,EMP105,Contract Renewal,21-10-2024,6 months extension,First renewal review
505,EMP106,Deployed,28-04-2023,Luminae Financial,Deployed on joining date
506,EMP106,Contract Renewal,25-10-2023,6 months extension,First renewal review
507,EMP106,Appraisal,27-04-2024,11.1%,Annual appraisal cycle
508,EMP106,Contract Renewal,22-04-2024,6 months extension,Second renewal review
509,EMP107,Bench Start,05-04-2024,11 days,Client Budget Hold
510,EMP107,Bench End,16-04-2024,11 days on bench,Deployment commenced
511,EMP107,Deployed,16-04-2024,Luminae Financial,Initial deployment
512,EMP107,Contract Renewal,13-10-2024,6 months extension,First renewal review
513,EMP107,Released,31-12-2024,Released,Better opportunity
514,EMP108,Bench Start,27-04-2023,19 days,Client Budget Hold
515,EMP108,Bench End,16-05-2023,19 days on bench,Deployment commenced
516,EMP108,Deployed,16-05-2023,Zephryn Technologies,Initial deployment
517,EMP108,Contract Closure,12-11-2023,Project ended,Performance
518,EMP108,Bill Rate Revision,15-05-2024,INR 12508.88,Annual rate revision
519,EMP108,Appraisal,26-04-2024,10.3%,Annual appraisal cycle
520,EMP108,Resigned,24-05-2024,Resigned,Contract ended
521,EMP109,Deployed,10-07-2023,Luminae Financial,Deployed on joining date
522,EMP109,Contract Closure,06-01-2024,Project ended,Budget Cut
523,EMP109,Bill Rate Revision,09-07-2024,INR 1482.82,Annual rate revision
524,EMP109,Resigned,31-03-2024,Resigned,Budget cut
525,EMP110,Bench Start,23-02-2024,4 days,Internal Approvals
526,EMP110,Bench End,27-02-2024,4 days on bench,Deployment commenced
527,EMP110,Deployed,27-02-2024,Luminae Financial,Initial deployment
528,EMP110,Contract Renewal,25-08-2024,6 months extension,First renewal review
529,EMP111,Bench Start,12-02-2023,7 days,Role Redefinition
530,EMP111,Bench End,19-02-2023,7 days on bench,Deployment commenced
531,EMP111,Deployed,19-02-2023,Zephryn Technologies,Initial deployment
532,EMP111,Contract Closure,18-08-2023,Project ended,Performance
533,EMP111,Appraisal,12-02-2024,13.9%,Annual appraisal cycle
534,EMP111,Released,03-09-2023,Released,Better opportunity
535,EMP112,Bench Start,14-03-2024,16 days,Role Redefinition
536,EMP112,Bench End,30-03-2024,16 days on bench,Deployment commenced
537,EMP112,Deployed,30-03-2024,Veluxtra Infotech,Initial deployment
538,EMP112,Contract Renewal,26-09-2024,6 months extension,First renewal review
539,EMP113,Deployed,16-05-2023,Orenvast Bank,Deployed on joining date
540,EMP113,Contract Renewal,12-11-2023,6 months extension,First renewal review
541,EMP113,Bill Rate Revision,15-05-2024,USD 10.85,Annual rate revision
542,EMP113,Released,13-12-2023,Released,Personal reasons
543,EMP114,Bench Start,02-01-2024,7 days,Visa Processing
544,EMP114,Bench End,09-01-2024,7 days on bench,Deployment commenced
545,EMP114,Deployed,09-01-2024,Brackenfield Bank,Initial deployment
546,EMP114,Contract Renewal,07-07-2024,6 months extension,First renewal review
547,EMP115,Bench Start,06-11-2023,14 days,Visa Processing
548,EMP115,Bench End,20-11-2023,14 days on bench,Deployment commenced
549,EMP115,Deployed,20-11-2023,Altovex Systems,Initial deployment
550,EMP115,Contract Closure,18-05-2024,Project ended,Performance
551,EMP115,Resigned,18-05-2024,Resigned,Performance issue
552,EMP116,Bench Start,02-04-2023,17 days,Visa Processing
553,EMP116,Bench End,19-04-2023,17 days on bench,Deployment commenced
554,EMP116,Deployed,19-04-2023,Orenvast Bank,Initial deployment
555,EMP116,Contract Renewal,16-10-2023,6 months extension,First renewal review
556,EMP116,Bill Rate Revision,18-04-2024,USD 11.58,Annual rate revision
557,EMP116,Appraisal,01-04-2024,9.8%,Annual appraisal cycle
558,EMP116,Released,21-09-2024,Released,Performance issue
559,EMP117,Bench Start,15-03-2024,2 days,Visa Processing
560,EMP117,Bench End,17-03-2024,2 days on bench,Deployment commenced
561,EMP117,Deployed,17-03-2024,Altovex Systems,Initial deployment
562,EMP117,Contract Renewal,13-09-2024,6 months extension,First renewal review
563,EMP118,Bench Start,24-06-2024,1 days,Visa Processing
564,EMP118,Bench End,25-06-2024,1 days on bench,Deployment commenced
565,EMP118,Deployed,25-06-2024,Zephryn Technologies,Initial deployment
566,EMP118,Contract Renewal,22-12-2024,6 months extension,First renewal review
567,EMP119,Deployed,12-10-2023,Altovex Systems,Deployed on joining date
568,EMP119,Contract Renewal,09-04-2024,6 months extension,First renewal review
569,EMP119,Contract Renewal,06-10-2024,6 months extension,Second renewal review
570,EMP119,Converted to FTE,07-11-2024,Converted to FTE,Better opportunity
571,EMP120,Bench Start,22-12-2023,7 days,Client BGV Delay
572,EMP120,Bench End,29-12-2023,7 days on bench,Deployment commenced
573,EMP120,Deployed,29-12-2023,Orenvast Bank,Initial deployment
574,EMP120,Contract Renewal,26-06-2024,6 months extension,First renewal review
575,EMP120,Released,02-07-2024,Released,Personal reasons
576,EMP121,Bench Start,20-06-2023,3 days,Client BGV Delay
577,EMP121,Bench End,23-06-2023,3 days on bench,Deployment commenced
578,EMP121,Deployed,23-06-2023,Luminae Financial,Initial deployment
579,EMP121,Contract Renewal,20-12-2023,6 months extension,First renewal review
580,EMP121,Contract Closure,17-06-2024,Project ended,Client Decision
581,EMP122,Deployed,23-02-2023,Zephryn Technologies,Deployed on joining date
582,EMP122,Contract Renewal,22-08-2023,6 months extension,First renewal review
583,EMP122,Contract Renewal,18-02-2024,6 months extension,Second renewal review
584,EMP122,Converted to FTE,04-12-2023,Converted to FTE,Personal reasons
585,EMP123,Bench Start,20-07-2023,5 days,Client Budget Hold
586,EMP123,Bench End,25-07-2023,5 days on bench,Deployment commenced
587,EMP123,Deployed,25-07-2023,Veluxtra Infotech,Initial deployment
588,EMP123,Contract Renewal,21-01-2024,6 months extension,First renewal review
589,EMP123,Bill Rate Revision,24-07-2024,INR 5271.71,Annual rate revision
590,EMP123,Appraisal,19-07-2024,13.3%,Annual appraisal cycle
591,EMP123,Contract Closure,19-07-2024,Project ended,Project Completion
592,EMP124,Bench Start,17-01-2024,13 days,Client Budget Hold
593,EMP124,Bench End,30-01-2024,13 days on bench,Deployment commenced
594,EMP124,Deployed,30-01-2024,Orenvast Bank,Initial deployment
595,EMP124,Contract Renewal,28-07-2024,6 months extension,First renewal review
596,EMP125,Bench Start,18-03-2023,2 days,Visa Processing
597,EMP125,Bench End,20-03-2023,2 days on bench,Deployment commenced
598,EMP125,Deployed,20-03-2023,Zephryn Technologies,Initial deployment
599,EMP125,Contract Renewal,16-09-2023,6 months extension,First renewal review
600,EMP125,Resigned,25-09-2023,Resigned,Budget cut
601,EMP126,Deployed,03-11-2023,Brackenfield Bank,Deployed on joining date
602,EMP126,Contract Renewal,01-05-2024,6 months extension,First renewal review
603,EMP126,Appraisal,02-11-2024,11.4%,Annual appraisal cycle
604,EMP126,Contract Renewal,28-10-2024,6 months extension,Second renewal review
605,EMP127,Bench Start,23-09-2023,15 days,Client BGV Delay
606,EMP127,Bench End,08-10-2023,15 days on bench,Deployment commenced
607,EMP127,Deployed,08-10-2023,Veluxtra Infotech,Initial deployment
608,EMP127,Contract Renewal,05-04-2024,6 months extension,First renewal review
609,EMP127,Bill Rate Revision,07-10-2024,INR 3908.55,Annual rate revision
610,EMP127,Contract Renewal,02-10-2024,6 months extension,Second renewal review
611,EMP128,Deployed,05-05-2024,Orenvast Bank,Deployed on joining date
612,EMP128,Contract Renewal,01-11-2024,6 months extension,First renewal review
613,EMP129,Bench Start,28-04-2024,25 days,Client Budget Hold
614,EMP129,Bench End,23-05-2024,25 days on bench,Deployment commenced
615,EMP129,Deployed,23-05-2024,Brackenfield Bank,Initial deployment
616,EMP129,Contract Renewal,19-11-2024,6 months extension,First renewal review
617,EMP129,Released,31-12-2024,Released,Better opportunity
618,EMP130,Bench Start,26-05-2023,14 days,Visa Processing
619,EMP130,Bench End,09-06-2023,14 days on bench,Deployment commenced
620,EMP130,Deployed,09-06-2023,Luminae Financial,Initial deployment
621,EMP130,Contract Renewal,06-12-2023,6 months extension,First renewal review
622,EMP130,Bill Rate Revision,08-06-2024,INR 3100.05,Annual rate revision
623,EMP130,Contract Closure,03-06-2024,Project ended,Project Completion
624,EMP131,Bench Start,26-05-2023,27 days,Role Redefinition
625,EMP131,Bench End,22-06-2023,27 days on bench,Deployment commenced
626,EMP131,Deployed,22-06-2023,Veluxtra Infotech,Initial deployment
627,EMP131,Contract Closure,19-12-2023,Project ended,Performance
628,EMP131,Bill Rate Revision,21-06-2024,INR 2881.87,Annual rate revision
629,EMP131,Appraisal,25-05-2024,12.9%,Annual appraisal cycle
630,EMP131,Contract Renewal,16-06-2024,6 months extension,Second renewal review
631,EMP131,Converted to FTE,01-06-2024,Converted to FTE,Contract ended
632,EMP132,Bench Start,17-08-2023,6 days,Visa Processing
633,EMP132,Bench End,23-08-2023,6 days on bench,Deployment commenced
634,EMP132,Deployed,23-08-2023,Zephryn Technologies,Initial deployment
635,EMP132,Contract Renewal,19-02-2024,6 months extension,First renewal review
636,EMP132,Appraisal,16-08-2024,14.3%,Annual appraisal cycle
637,EMP132,Resigned,20-05-2024,Resigned,Better opportunity
638,EMP133,Deployed,24-11-2023,Zephryn Technologies,Deployed on joining date
639,EMP133,Contract Closure,22-05-2024,Project ended,Client Decision
640,EMP133,Bill Rate Revision,23-11-2024,INR 4794.88,Annual rate revision
641,EMP133,Appraisal,23-11-2024,14.3%,Annual appraisal cycle
642,EMP133,Contract Renewal,18-11-2024,6 months extension,Second renewal review
643,EMP134,Deployed,05-03-2024,Zephryn Technologies,Deployed on joining date
644,EMP134,Contract Renewal,01-09-2024,6 months extension,First renewal review
645,EMP135,Bench Start,24-06-2023,9 days,Client BGV Delay
646,EMP135,Bench End,03-07-2023,9 days on bench,Deployment commenced
647,EMP135,Deployed,03-07-2023,Veluxtra Infotech,Initial deployment
648,EMP135,Contract Renewal,30-12-2023,6 months extension,First renewal review
649,EMP135,Bill Rate Revision,02-07-2024,INR 4080.77,Annual rate revision
650,EMP135,Appraisal,23-06-2024,7.9%,Annual appraisal cycle
651,EMP135,Contract Closure,27-06-2024,Project ended,Client Decision
652,EMP136,Deployed,17-05-2024,Altovex Systems,Deployed on joining date
653,EMP136,Contract Renewal,13-11-2024,6 months extension,First renewal review
654,EMP136,Resigned,31-12-2024,Resigned,Client absorption
655,EMP137,Deployed,29-09-2023,Veluxtra Infotech,Deployed on joining date
656,EMP137,Contract Renewal,27-03-2024,6 months extension,First renewal review
657,EMP137,Bill Rate Revision,28-09-2024,INR 1507.49,Annual rate revision
658,EMP137,Appraisal,28-09-2024,7.3%,Annual appraisal cycle
659,EMP137,Resigned,30-03-2024,Resigned,Client absorption
660,EMP138,Bench Start,28-02-2024,7 days,Client BGV Delay
661,EMP138,Bench End,06-03-2024,7 days on bench,Deployment commenced
662,EMP138,Deployed,06-03-2024,Veluxtra Infotech,Initial deployment
663,EMP138,Contract Closure,02-09-2024,Project ended,Performance
664,EMP138,Resigned,31-12-2024,Resigned,Budget cut
665,EMP139,Bench Start,27-06-2023,2 days,Client Budget Hold
666,EMP139,Bench End,29-06-2023,2 days on bench,Deployment commenced
667,EMP139,Deployed,29-06-2023,Veluxtra Infotech,Initial deployment
668,EMP139,Contract Renewal,26-12-2023,6 months extension,First renewal review
669,EMP139,Bill Rate Revision,28-06-2024,INR 3463.11,Annual rate revision
670,EMP139,Contract Renewal,23-06-2024,6 months extension,Second renewal review
671,EMP139,Converted to FTE,01-05-2024,Converted to FTE,Client absorption
672,EMP140,Bench Start,03-06-2023,19 days,Documentation Pending
673,EMP140,Bench End,22-06-2023,19 days on bench,Deployment commenced
674,EMP140,Deployed,22-06-2023,Veluxtra Infotech,Initial deployment
675,EMP140,Contract Renewal,19-12-2023,6 months extension,First renewal review
676,EMP140,Contract Renewal,16-06-2024,6 months extension,Second renewal review
677,EMP141,Bench Start,17-01-2024,1 days,Internal Approvals
678,EMP141,Bench End,18-01-2024,1 days on bench,Deployment commenced
679,EMP141,Deployed,18-01-2024,Orenvast Bank,Initial deployment
680,EMP141,Contract Closure,16-07-2024,Project ended,Client Decision
681,EMP142,Bench Start,11-06-2024,9 days,Internal Approvals
682,EMP142,Bench End,20-06-2024,9 days on bench,Deployment commenced
683,EMP142,Deployed,20-06-2024,Luminae Financial,Initial deployment
684,EMP142,Contract Renewal,17-12-2024,6 months extension,First renewal review
685,EMP143,Deployed,01-06-2024,Veluxtra Infotech,Deployed on joining date
686,EMP143,Contract Closure,28-11-2024,Project ended,Project Completion
687,EMP143,Converted to FTE,31-12-2024,Converted to FTE,Client absorption
688,EMP144,Deployed,31-07-2023,Altovex Systems,Deployed on joining date
689,EMP144,Contract Closure,27-01-2024,Project ended,Client Decision
690,EMP144,Appraisal,30-07-2024,12.1%,Annual appraisal cycle
691,EMP144,Contract Renewal,25-07-2024,6 months extension,Second renewal review
692,EMP145,Bench Start,11-02-2024,30 days,Client Budget Hold
693,EMP145,Bench End,12-03-2024,30 days on bench,Deployment commenced
694,EMP145,Deployed,12-03-2024,Zephryn Technologies,Initial deployment
695,EMP145,Contract Renewal,08-09-2024,6 months extension,First renewal review
696,EMP146,Bench Start,18-02-2024,10 days,Visa Processing
697,EMP146,Bench End,28-02-2024,10 days on bench,Deployment commenced
698,EMP146,Deployed,28-02-2024,Brackenfield Bank,Initial deployment
699,EMP146,Contract Renewal,26-08-2024,6 months extension,First renewal review
700,EMP147,Deployed,28-10-2023,Altovex Systems,Deployed on joining date
701,EMP147,Contract Renewal,25-04-2024,6 months extension,First renewal review
702,EMP147,Appraisal,27-10-2024,13.6%,Annual appraisal cycle
703,EMP147,Resigned,15-06-2024,Resigned,Client absorption
704,EMP148,Deployed,01-05-2023,Luminae Financial,Deployed on joining date
705,EMP148,Contract Renewal,28-10-2023,6 months extension,First renewal review
706,EMP148,Appraisal,30-04-2024,11.1%,Annual appraisal cycle
707,EMP148,Contract Renewal,25-04-2024,6 months extension,Second renewal review
708,EMP148,Converted to FTE,25-11-2023,Converted to FTE,Contract ended
709,EMP149,Bench Start,04-07-2023,8 days,Client BGV Delay
710,EMP149,Bench End,12-07-2023,8 days on bench,Deployment commenced
711,EMP149,Deployed,12-07-2023,Altovex Systems,Initial deployment
712,EMP149,Contract Renewal,08-01-2024,6 months extension,First renewal review
713,EMP149,Appraisal,03-07-2024,11.0%,Annual appraisal cycle
714,EMP149,Released,19-05-2024,Released,Client absorption
715,EMP150,Bench Start,27-06-2024,8 days,Role Redefinition
716,EMP150,Bench End,05-07-2024,8 days on bench,Deployment commenced
717,EMP150,Deployed,05-07-2024,Brackenfield Bank,Initial deployment
718,EMP151,Deployed,20-03-2024,Zephryn Technologies,Deployed on joining date
719,EMP151,Contract Renewal,16-09-2024,6 months extension,First renewal review
720,EMP152,Bench Start,19-02-2023,6 days,Role Redefinition
721,EMP152,Bench End,25-02-2023,6 days on bench,Deployment commenced
722,EMP152,Deployed,25-02-2023,Brackenfield Bank,Initial deployment
723,EMP152,Contract Renewal,24-08-2023,6 months extension,First renewal review
724,EMP152,Bill Rate Revision,25-02-2024,USD 9.47,Annual rate revision
725,EMP152,Resigned,23-01-2024,Resigned,Client absorption
726,EMP153,Bench Start,07-06-2024,6 days,Visa Processing
727,EMP153,Bench End,13-06-2024,6 days on bench,Deployment commenced
728,EMP153,Deployed,13-06-2024,Luminae Financial,Initial deployment
729,EMP153,Contract Renewal,10-12-2024,6 months extension,First renewal review
730,EMP154,Deployed,02-04-2023,Luminae Financial,Deployed on joining date
731,EMP154,Contract Closure,29-09-2023,Project ended,Performance
732,EMP154,Bill Rate Revision,01-04-2024,INR 1593.44,Annual rate revision
733,EMP154,Appraisal,01-04-2024,8.6%,Annual appraisal cycle
734,EMP154,Released,29-02-2024,Released,Budget cut
735,EMP155,Bench Start,12-03-2024,1 days,Visa Processing
736,EMP155,Bench End,13-03-2024,1 days on bench,Deployment commenced
737,EMP155,Deployed,13-03-2024,Luminae Financial,Initial deployment
738,EMP155,Contract Renewal,09-09-2024,6 months extension,First renewal review
739,EMP155,Released,31-12-2024,Released,Contract ended
740,EMP156,Deployed,07-03-2024,Luminae Financial,Deployed on joining date
741,EMP156,Contract Closure,03-09-2024,Project ended,Client Decision
742,EMP157,Deployed,17-02-2023,Altovex Systems,Deployed on joining date
743,EMP157,Contract Renewal,16-08-2023,6 months extension,First renewal review
744,EMP157,Bill Rate Revision,17-02-2024,USD 16.37,Annual rate revision
745,EMP157,Appraisal,17-02-2024,7.0%,Annual appraisal cycle
746,EMP157,Contract Renewal,12-02-2024,6 months extension,Second renewal review
747,EMP158,Bench Start,19-06-2023,1 days,Role Redefinition
748,EMP158,Bench End,20-06-2023,1 days on bench,Deployment commenced
749,EMP158,Deployed,20-06-2023,Brackenfield Bank,Initial deployment
750,EMP158,Contract Renewal,17-12-2023,6 months extension,First renewal review
751,EMP158,Contract Renewal,14-06-2024,6 months extension,Second renewal review
752,EMP159,Bench Start,08-11-2023,29 days,Internal Approvals
753,EMP159,Bench End,07-12-2023,29 days on bench,Deployment commenced
754,EMP159,Deployed,07-12-2023,Brackenfield Bank,Initial deployment
755,EMP159,Contract Renewal,04-06-2024,6 months extension,First renewal review
756,EMP159,Appraisal,07-11-2024,14.4%,Annual appraisal cycle
757,EMP159,Contract Renewal,01-12-2024,6 months extension,Second renewal review
758,EMP160,Deployed,18-06-2024,Veluxtra Infotech,Deployed on joining date
759,EMP160,Contract Renewal,15-12-2024,6 months extension,First renewal review
760,EMP161,Deployed,29-02-2024,Zephryn Technologies,Deployed on joining date
761,EMP161,Contract Closure,27-08-2024,Project ended,Budget Cut
762,EMP161,Released,31-12-2024,Released,Better opportunity
763,EMP162,Bench Start,27-06-2023,6 days,Role Redefinition
764,EMP162,Bench End,03-07-2023,6 days on bench,Deployment commenced
765,EMP162,Deployed,03-07-2023,Zephryn Technologies,Initial deployment
766,EMP162,Contract Renewal,30-12-2023,6 months extension,First renewal review
767,EMP162,Bill Rate Revision,02-07-2024,INR 5217.31,Annual rate revision
768,EMP162,Appraisal,26-06-2024,6.8%,Annual appraisal cycle
769,EMP162,Contract Closure,27-06-2024,Project ended,Client Decision
770,EMP162,Converted to FTE,31-03-2024,Converted to FTE,Personal reasons
771,EMP163,Bench Start,11-08-2023,9 days,Role Redefinition
772,EMP163,Bench End,20-08-2023,9 days on bench,Deployment commenced
773,EMP163,Deployed,20-08-2023,Luminae Financial,Initial deployment
774,EMP163,Contract Renewal,16-02-2024,6 months extension,First renewal review
775,EMP163,Contract Renewal,14-08-2024,6 months extension,Second renewal review
776,EMP164,Deployed,29-05-2023,Orenvast Bank,Deployed on joining date
777,EMP164,Contract Renewal,25-11-2023,6 months extension,First renewal review
778,EMP164,Bill Rate Revision,28-05-2024,USD 19.62,Annual rate revision
779,EMP164,Resigned,20-12-2023,Resigned,Personal reasons
780,EMP165,Bench Start,22-10-2023,28 days,Visa Processing
781,EMP165,Bench End,19-11-2023,28 days on bench,Deployment commenced
782,EMP165,Deployed,19-11-2023,Zephryn Technologies,Initial deployment
783,EMP165,Contract Renewal,17-05-2024,6 months extension,First renewal review
784,EMP165,Bill Rate Revision,18-11-2024,INR 4268.38,Annual rate revision
785,EMP165,Appraisal,21-10-2024,7.9%,Annual appraisal cycle
786,EMP165,Contract Closure,13-11-2024,Project ended,Client Decision
787,EMP166,Deployed,18-03-2023,Altovex Systems,Deployed on joining date
788,EMP166,Contract Renewal,14-09-2023,6 months extension,First renewal review
789,EMP166,Resigned,06-12-2023,Resigned,Performance issue
790,EMP167,Bench Start,22-11-2023,2 days,Role Redefinition
791,EMP167,Bench End,24-11-2023,2 days on bench,Deployment commenced
792,EMP167,Deployed,24-11-2023,Altovex Systems,Initial deployment
793,EMP167,Contract Renewal,22-05-2024,6 months extension,First renewal review
794,EMP167,Bill Rate Revision,23-11-2024,USD 9.32,Annual rate revision
795,EMP167,Appraisal,21-11-2024,9.0%,Annual appraisal cycle
796,EMP167,Resigned,31-12-2024,Resigned,Performance issue
797,EMP168,Deployed,07-09-2023,Luminae Financial,Deployed on joining date
798,EMP168,Contract Renewal,05-03-2024,6 months extension,First renewal review
799,EMP168,Contract Renewal,01-09-2024,6 months extension,Second renewal review
800,EMP169,Bench Start,21-06-2023,12 days,Client Budget Hold
801,EMP169,Bench End,03-07-2023,12 days on bench,Deployment commenced
802,EMP169,Deployed,03-07-2023,Veluxtra Infotech,Initial deployment
803,EMP169,Contract Renewal,30-12-2023,6 months extension,First renewal review
804,EMP169,Appraisal,20-06-2024,5.3%,Annual appraisal cycle
805,EMP169,Released,17-01-2024,Released,Personal reasons
806,EMP170,Bench Start,19-02-2024,11 days,Client BGV Delay
807,EMP170,Bench End,01-03-2024,11 days on bench,Deployment commenced
808,EMP170,Deployed,01-03-2024,Orenvast Bank,Initial deployment
809,EMP170,Contract Renewal,28-08-2024,6 months extension,First renewal review
810,EMP171,Bench Start,30-10-2023,27 days,Visa Processing
811,EMP171,Bench End,26-11-2023,27 days on bench,Deployment commenced
812,EMP171,Deployed,26-11-2023,Altovex Systems,Initial deployment
813,EMP171,Contract Renewal,24-05-2024,6 months extension,First renewal review
814,EMP171,Bill Rate Revision,25-11-2024,USD 19.06,Annual rate revision
815,EMP171,Contract Closure,20-11-2024,Project ended,Project Completion
816,EMP171,Converted to FTE,14-11-2024,Converted to FTE,Better opportunity
817,EMP172,Deployed,15-08-2023,Luminae Financial,Deployed on joining date
818,EMP172,Contract Renewal,11-02-2024,6 months extension,First renewal review
